subject,state,device,fs,n_channels,channels,n_samples,duration_sec,recording_id,title_internal,label_mismatch,flags,file
Akshat,Relaxed,Emotiv,128.0,2,F7+F8,30877,241.2,Akshat_Relaxed_1732964575,Akshat-Relaxed-3,False,,Akshat-Relaxed-9_EPOCFLEX_250510_2024.11.30T16.32.55+05.30.md.bp.csv
Moyukh,Concentrated,Emotiv,128.0,2,F7+F8,19270,150.5,Moyukh_Concentrated_1732963415,Akshat-Relaxed-1,True,title_mismatch:Akshat-Relaxed-1,Moyukh-Concentrated-10_EPOCFLEX_250510_2024.11.30T16.13.35+05.30.md.bp.csv
Moyukh,Concentrated,Emotiv,128.0,2,F7+F8,19270,150.5,Moyukh_Concentrated_1732963415,Akshat-Relaxed-1,True,title_mismatch:Akshat-Relaxed-1,Moyukh-Concentrated-1_EPOCFLEX_250510_2024.11.30T16.13.35+05.30.md.bp.csv
Moyukh,Concentrated,Emotiv,128.0,2,F7+F8,19270,150.5,Moyukh_Concentrated_1732963415,Akshat-Relaxed-1,True,title_mismatch:Akshat-Relaxed-1,Moyukh-Concentrated-4_EPOCFLEX_250510_2024.11.30T16.13.35+05.30.md.bp.csv
Moyukh,Concentrated,Emotiv,128.0,2,F7+F8,19270,150.5,Moyukh_Concentrated_1732963415,Akshat-Relaxed-1,True,title_mismatch:Akshat-Relaxed-1,Moyukh-Concentrated-5_EPOCFLEX_250510_2024.11.30T16.13.35+05.30.md.bp.csv
Moyukh,Concentrated,Emotiv,128.0,2,F7+F8,19270,150.5,Moyukh_Concentrated_1732963415,Akshat-Relaxed-1,True,title_mismatch:Akshat-Relaxed-1,Moyukh-Concentrated-6_EPOCFLEX_250510_2024.11.30T16.13.35+05.30.md.bp.csv
Moyukh,Concentrated,Emotiv,128.0,2,F7+F8,19270,150.5,Moyukh_Concentrated_1732963415,Akshat-Relaxed-1,True,title_mismatch:Akshat-Relaxed-1,Moyukh-Concentrated-9_EPOCFLEX_250510_2024.11.30T16.13.35+05.30.md.bp.csv
Moyukh,Concentrated,Emotiv,128.0,2,F7+F8,19540,152.7,Moyukh_Concentrated_1732964198,Akshat-Concentrated-2,True,title_mismatch:Akshat-Concentrated-2,Moyukh-Concentrated-2_EPOCFLEX_250510_2024.11.30T16.26.38+05.30.md.bp.csv
Moyukh,Concentrated,Emotiv,128.0,2,F7+F8,19540,152.7,Moyukh_Concentrated_1732964198,Akshat-Concentrated-2,True,title_mismatch:Akshat-Concentrated-2,Moyukh-Concentrated-7_EPOCFLEX_250510_2024.11.30T16.26.38+05.30.md.bp.csv
Moyukh,Concentrated,Emotiv,128.0,2,F7+F8,31162,243.5,Moyukh_Concentrated_1732964896,Akshat-Concentrated-3,True,title_mismatch:Akshat-Concentrated-3,Moyukh-Concentrated-3_EPOCFLEX_250510_2024.11.30T16.38.16+05.30.md.bp.csv
Moyukh,Concentrated,Emotiv,128.0,2,F7+F8,31162,243.5,Moyukh_Concentrated_1732964896,Akshat-Concentrated-3,True,title_mismatch:Akshat-Concentrated-3,Moyukh-Concentrated-8_EPOCFLEX_250510_2024.11.30T16.38.16+05.30.md.bp.csv
Moyukh,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Moyukh_Neutral_Moyukh-Neutral-1,,False,,Moyukh-Neutral-1.csv
Moyukh,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Moyukh_Neutral_Moyukh-Neutral-10,,False,,Moyukh-Neutral-10.csv
Moyukh,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Moyukh_Neutral_Moyukh-Neutral-2,,False,,Moyukh-Neutral-2.csv
Moyukh,Neutral,Muse,250.0,2,AF7+AF8,15216,60.9,Moyukh_Neutral_Moyukh-Neutral-3,,False,,Moyukh-Neutral-3.csv
Moyukh,Neutral,Muse,250.0,2,AF7+AF8,2328,9.3,Moyukh_Neutral_Moyukh-Neutral-4,,False,,Moyukh-Neutral-4.csv
Moyukh,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Moyukh_Neutral_Moyukh-Neutral-5,,False,,Moyukh-Neutral-5.csv
Moyukh,Neutral,Muse,250.0,2,AF7+AF8,15216,60.9,Moyukh_Neutral_Moyukh-Neutral-6,,False,,Moyukh-Neutral-6.csv
Moyukh,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Moyukh_Neutral_Moyukh-Neutral-7,,False,,Moyukh-Neutral-7.csv
Moyukh,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Moyukh_Neutral_Moyukh-Neutral-8,,False,,Moyukh-Neutral-8.csv
Moyukh,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Moyukh_Neutral_Moyukh-Neutral-9,,False,,Moyukh-Neutral-9.csv
Moyukh,Relaxed,Emotiv,128.0,2,F7+F8,43615,340.7,Moyukh_Relaxed_1733043110,Moyukh-Relaxed-1,False,,Moyukh-Relaxed-1_EPOCFLEX_250709_2024.12.01T14.21.50+05.30.md.bp.csv
Moyukh,Relaxed,Emotiv,128.0,2,F7+F8,43615,340.7,Moyukh_Relaxed_1733043110,Moyukh-Relaxed-1,False,,Moyukh-Relaxed-4_EPOCFLEX_250709_2024.12.01T14.21.50+05.30.md.bp.csv
Moyukh,Relaxed,Emotiv,128.0,2,F7+F8,43615,340.7,Moyukh_Relaxed_1733043110,Moyukh-Relaxed-1,False,,Moyukh-Relaxed-5_EPOCFLEX_250709_2024.12.01T14.21.50+05.30.md.bp.csv
Moyukh,Relaxed,Emotiv,128.0,2,F7+F8,43615,340.7,Moyukh_Relaxed_1733043110,Moyukh-Relaxed-1,False,,Moyukh-Relaxed-6_EPOCFLEX_250709_2024.12.01T14.21.50+05.30.md.bp.csv
Moyukh,Relaxed,Emotiv,128.0,2,F7+F8,43313,338.4,Moyukh_Relaxed_1733043480,Moyukh-Relaxed-2,False,,Moyukh-Relaxed-10_EPOCFLEX_250709_2024.12.01T14.28.00+05.30.md.bp.csv
Moyukh,Relaxed,Emotiv,128.0,2,F7+F8,43313,338.4,Moyukh_Relaxed_1733043480,Moyukh-Relaxed-2,False,,Moyukh-Relaxed-2_EPOCFLEX_250709_2024.12.01T14.28.00+05.30.md.bp.csv
Moyukh,Relaxed,Emotiv,128.0,2,F7+F8,43313,338.4,Moyukh_Relaxed_1733043480,Moyukh-Relaxed-2,False,,Moyukh-Relaxed-7_EPOCFLEX_250709_2024.12.01T14.28.00+05.30.md.bp.csv
Moyukh,Relaxed,Emotiv,128.0,2,F7+F8,43313,338.4,Moyukh_Relaxed_1733043480,Moyukh-Relaxed-2,False,,Moyukh-Relaxed-8_EPOCFLEX_250709_2024.12.01T14.28.00+05.30.md.bp.csv
Moyukh,Relaxed,Emotiv,128.0,2,F7+F8,43313,338.4,Moyukh_Relaxed_1733043480,Moyukh-Relaxed-2,False,,Moyukh-Relaxed-9_EPOCFLEX_250709_2024.12.01T14.28.00+05.30.md.bp.csv
Moyukh,Relaxed,Emotiv,128.0,2,F7+F8,38032,297.1,Moyukh_Relaxed_1733044295,Moyukh-Relaxed-3,False,,Moyukh-Relaxed-3_EPOCFLEX_250709_2024.12.01T14.41.35+05.30.md.bp.csv
Namay,Concentrated,Emotiv,128.0,2,F7+F8,15440,120.6,Namay_Concentrated_1732960917,Namay-Concentrated-1,False,,Namay-Concentrated-10_EPOCFLEX_250502_2024.11.30T15.31.57+05.30.md.csv
Namay,Concentrated,Emotiv,128.0,2,F7+F8,15440,120.6,Namay_Concentrated_1732960917,Namay-Concentrated-1,False,,Namay-Concentrated-1_EPOCFLEX_250502_2024.11.30T15.31.57+05.30.md.csv
Namay,Concentrated,Emotiv,128.0,2,F7+F8,15440,120.6,Namay_Concentrated_1732960917,Namay-Concentrated-1,False,,Namay-Concentrated-3_EPOCFLEX_250502_2024.11.30T15.31.57+05.30.md.csv
Namay,Concentrated,Emotiv,128.0,2,F7+F8,15440,120.6,Namay_Concentrated_1732960917,Namay-Concentrated-1,False,,Namay-Concentrated-4_EPOCFLEX_250502_2024.11.30T15.31.57+05.30.md.csv
Namay,Concentrated,Emotiv,128.0,2,F7+F8,15440,120.6,Namay_Concentrated_1732960917,Namay-Concentrated-1,False,,Namay-Concentrated-5_EPOCFLEX_250502_2024.11.30T15.31.57+05.30.md.csv
Namay,Concentrated,Emotiv,128.0,2,F7+F8,15440,120.6,Namay_Concentrated_1732960917,Namay-Concentrated-1,False,,Namay-Concentrated-6_EPOCFLEX_250502_2024.11.30T15.31.57+05.30.md.csv
Namay,Concentrated,Emotiv,128.0,2,F7+F8,19281,150.6,Namay_Concentrated_1732962064,Namay-Concentrated-2,False,,Namay-Concentrated-2_EPOCFLEX_250502_2024.11.30T15.51.04+05.30.md.bp.csv
